text,label
Project update - We are planning a team building event next month. Please vote on the location.,Safe
Your Amazon order - The project is on track for delivery next week. Thanks for your hard work.,Safe
"Hey, how are you? - We are planning a team building event next month. Please vote on the location.",Safe
Microsoft 365: Password Expiry Notice - A critical security update is required for your account. Please install it immediately by clicking the link provided.,Phishing
Meeting notes - Can we reschedule our meeting to 3 PM? Thanks.,Safe
"New feature launch - Hey, just checking in to see how things are going.",Safe
Lose weight fast - Buy cheap medications online without a prescription. Fast shipping. Visit our website now.,Spam
Hot singles in your area - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Meeting notes - The new feature has been launched successfully. Great job everyone!,Safe
"Security Alert: Unauthorized Login Attempt - We detected an unauthorized login attempt from a new device. If this wasn't you, click here to secure your account.",Phishing
Lose weight fast - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
New feature launch - Please find the weekly report attached. Best regards.,Safe
Project update - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Verify your Apple ID - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
You won a lottery! - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Make money working from home - Meet hot singles in your area today. 100% free registration. Click here.,Spam
Important: Update Your Password - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
Clearance sale up to 90% off - Make $5000 a week working from home. No experience needed. Sign up today.,Spam
"Microsoft 365: Password Expiry Notice - Your PayPal account has been limited. To lift the limitation, please log in and confirm your personal information here.",Phishing
Enlarge your... - Invest in our new cryptocurrency and double your money in a week. Guaranteed returns.,Spam
Urgent: Account Suspended - Your Microsoft 365 password will expire soon. Click here to keep your current password.,Phishing
Your Amazon order - Please find the weekly report attached. Best regards.,Safe
Invoice attached for review - We are planning a team building event next month. Please vote on the location.,Safe
Buy one get one free - You are the lucky winner of our daily draw. Click the link to claim your new iPhone.,Spam
Make money working from home - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Meeting notes - We are planning a team building event next month. Please vote on the location.,Safe
Your PayPal account has been limited - Your recent payment failed. Please update your billing information immediately by clicking this link to avoid service interruption.,Phishing
Verify your Apple ID - Your bank account needs to be verified urgently to comply with new regulations. Please log in here to complete the verification.,Phishing
Hot singles in your area - Buy one get one free on all designer watches. Limited time offer. Shop now.,Spam
Hot singles in your area - Lose 20 pounds in 2 weeks with our miracle pill. Order now and get a free trial.,Spam
Verify Your Bank Account - Your bank account needs to be verified urgently to comply with new regulations. Please log in here to complete the verification.,Phishing
Invoice attached for review - Are we still on for lunch at 12? Let me know.,Safe
Code review request - Can we reschedule our meeting to 3 PM? Thanks.,Safe
Verify your Apple ID - A critical security update is required for your account. Please install it immediately by clicking the link provided.,Phishing
Your PayPal account has been limited - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
Clearance sale up to 90% off - Exclusive offer just for you! Get 50% off on all items. Use code 50OFF at checkout.,Spam
Lunch today? - The project is on track for delivery next week. Thanks for your hard work.,Safe
"Hey, how are you? - We are planning a team building event next month. Please vote on the location.",Safe
Your PayPal account has been limited - Your Microsoft 365 password will expire soon. Click here to keep your current password.,Phishing
Hot singles in your area - You are the lucky winner of our daily draw. Click the link to claim your new iPhone.,Spam
Meeting notes - Are we still on for lunch at 12? Let me know.,Safe
Exclusive offer just for you - Exclusive offer just for you! Get 50% off on all items. Use code 50OFF at checkout.,Spam
Your Amazon order - The project is on track for delivery next week. Thanks for your hard work.,Safe
Weekly report - The new feature has been launched successfully. Great job everyone!,Safe
"Microsoft 365: Password Expiry Notice - Your PayPal account has been limited. To lift the limitation, please log in and confirm your personal information here.",Phishing
Enlarge your... - Buy cheap medications online without a prescription. Fast shipping. Visit our website now.,Spam
Team building event - The project is on track for delivery next week. Thanks for your hard work.,Safe
Weekly report - Please find the weekly report attached. Best regards.,Safe
Lunch today? - The project is on track for delivery next week. Thanks for your hard work.,Safe
Verify your Apple ID - Your password will expire in 24 hours. Please click the link below to update your password and keep your account secure.,Phishing
Microsoft 365: Password Expiry Notice - Your recent payment failed. Please update your billing information immediately by clicking this link to avoid service interruption.,Phishing
"Verify your Apple ID - We detected an unauthorized login attempt from a new device. If this wasn't you, click here to secure your account.",Phishing
